cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c4.4xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,16,30,0.20,2.000,0.4000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.4/hr,,
AWS,c4.4xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,16,30,0.25,2.000,0.5000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.5/hr,,
AWS,c4.4xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,16,30,0.25,2.000,0.5000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.5/hr,,
AWS,c4.4xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,16,30,0.25,2.000,0.5000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.5/hr,,
AWS,c4.4xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,16,30,0.10,2.000,0.2000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.2/hr,,
AWS,c4.4xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,16,30,0.15,2.000,0.3000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.3/hr,,
AWS,c4.4xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,16,30,0.20,2.000,0.4000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.4/hr,,
AWS,c4.4xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,16,30,0.07,2.000,0.1400,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.14/hr,,
AWS,c4.4xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,16,30,0.10,2.000,0.2000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.2/hr,,
AWS,c4.4xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,16,30,0.13,2.000,0.2600,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.26/hr,,
AWS,c4.8xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,36,60,0.40,4.000,1.6000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $1.6/hr,,
AWS,c4.8xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,36,60,0.55,4.000,2.2000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $2.2/hr,,
AWS,c4.8xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,36,60,0.65,4.000,2.6000,c4.8xlarge | 36CPUs | 60GB | 4DBU/hr | $2.6/hr,,
